"Hint","Ea","Pattern","MaxDmaSize","CmdCount","OffloadFit","DispatchRisk","Records","RunsSeen","TotalBytes","Total","ShareOf25cc","Get","Put","RsxBytes","Rsx","DurationUs","DurationMs","MaxJob"
"profile-only","0x9e4000","0x73368794d6672c33","16384","329","spu-kernel-hle","tiny-dispatch-trap","1","1","1780240","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","2070","2.070","1.70 MB"
"profile-only","0x9e4000","0x9c0589c18bf32c33","16384","329","spu-kernel-hle","tiny-dispatch-trap","1","1","1780240","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","1982","1.982","1.70 MB"
"profile-only","0x9e4000","0x110b6a4b20089943","16384","329","spu-kernel-hle","tiny-dispatch-trap","1","1","1780240","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","1840","1.840","1.70 MB"
"profile-only","0x9e4000","0x4fa5e28ef38b760b","16384","338","spu-kernel-hle","tiny-dispatch-trap","1","1","1775696","1.69 MB","0.02%","244.00 KB","1.46 MB","0","0 B","1885","1.885","1.69 MB"
"profile-only","0x9e4000","0xac7c8d1daee0c9bb","16384","338","spu-kernel-hle","tiny-dispatch-trap","1","1","1775696","1.69 MB","0.02%","244.00 KB","1.46 MB","0","0 B","1856","1.856","1.69 MB"
"profile-only","0x9e4000","0x9cbde32ae9cbac7b","16384","328","spu-kernel-hle","tiny-dispatch-trap","1","1","1775248","1.69 MB","0.02%","244.00 KB","1.45 MB","0","0 B","1683","1.683","1.69 MB"
"profile-only","0x9e4000","0x907b65cc411136db","16384","328","spu-kernel-hle","tiny-dispatch-trap","1","1","1775248","1.69 MB","0.02%","244.00 KB","1.45 MB","0","0 B","1627","1.627","1.69 MB"
"profile-only","0x9e4000","0xea664a27f8fafd7b","16384","328","spu-kernel-hle","tiny-dispatch-trap","1","1","1775248","1.69 MB","0.02%","244.00 KB","1.45 MB","0","0 B","2352","2.352","1.69 MB"
"profile-only","0x9e4000","0x7d7530349b093df3","16384","327","spu-kernel-hle","tiny-dispatch-trap","1","1","1770256","1.69 MB","0.02%","244.00 KB","1.45 MB","0","0 B","24708","24.708","1.69 MB"
"profile-only","0x9e4000","0xfbfd36733a88b623","16384","327","spu-kernel-hle","tiny-dispatch-trap","1","1","1770256","1.69 MB","0.02%","244.00 KB","1.45 MB","0","0 B","1836","1.836","1.69 MB"
